               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1189,            0.091889,            0.030777,           0.0089247,             0.40127,           0.0066463,           0.0013924,            0.081093,            0.069195,            0.018297,               0.001,               0.001,               0.091
                   1,            0.088825,             0.11223,            0.028092,             0.10952,             0.23577,            0.081983,            0.014982,            0.047809,            0.093753,            0.017085,           0.0020307,           0.0020307,            0.081031
                   2,            0.073172,             0.11741,            0.025731,             0.24456,             0.59546,             0.26723,             0.06388,            0.044232,             0.16317,            0.016069,           0.0029888,           0.0029888,            0.070989
                   3,            0.067281,            0.097403,             0.02456,             0.22314,             0.50972,             0.23432,            0.075619,             0.05128,            0.088659,            0.015339,           0.0038743,           0.0038743,            0.060874
                   4,            0.068758,            0.085083,            0.022623,             0.24076,             0.53855,             0.23843,            0.068676,            0.050693,              0.0517,            0.014407,           0.0046872,           0.0046872,            0.050687
                   5,            0.074974,            0.070793,            0.021519,             0.27791,             0.60432,             0.36672,            0.089523,            0.058296,            0.045385,            0.013383,           0.0054275,           0.0054275,            0.040427
                   6,            0.083238,            0.073417,            0.020348,             0.85107,             0.50466,             0.60631,             0.31823,            0.058275,              0.0393,            0.012524,           0.0060952,           0.0060952,            0.030095
                   7,            0.076092,            0.066282,            0.018001,             0.35293,             0.25825,             0.23827,            0.098401,            0.061149,            0.049176,            0.010518,           0.0066903,           0.0066903,             0.01969
                   8,            0.079943,            0.055064,            0.015629,             0.72601,             0.59592,             0.69839,             0.24037,             0.04716,            0.040626,           0.0085611,           0.0072128,           0.0072128,           0.0092128
                   9,            0.077737,            0.058932,            0.012256,             0.48995,             0.64839,             0.57811,             0.22703,            0.053571,            0.040338,           0.0063922,             0.00703,             0.00703,             0.00703
                  10,            0.075525,            0.056495,            0.010384,             0.20918,             0.49432,             0.19464,            0.042008,            0.053105,            0.055499,             0.01193,             0.00703,             0.00703,             0.00703
                  11,            0.076336,            0.056468,            0.010028,             0.69231,             0.81812,             0.83759,             0.31549,            0.048115,            0.044755,            0.003503,              0.0067,              0.0067,              0.0067
                  12,            0.071044,            0.057854,           0.0084317,             0.69881,             0.79486,             0.73471,             0.22199,            0.043804,            0.049312,           0.0034425,             0.00637,             0.00637,             0.00637
                  13,            0.066732,            0.056945,           0.0085477,             0.81817,             0.85006,             0.85649,              0.3277,             0.04106,            0.042799,           0.0045507,             0.00604,             0.00604,             0.00604
                  14,            0.066426,             0.05548,           0.0079934,             0.87764,             0.93037,             0.87981,             0.24904,            0.042485,             0.04048,           0.0037009,             0.00571,             0.00571,             0.00571
                  15,            0.060912,            0.052483,           0.0079509,             0.97004,             0.97691,              0.9835,             0.61021,            0.032878,            0.036128,           0.0025329,             0.00538,             0.00538,             0.00538
                  16,            0.058317,            0.052832,           0.0074661,             0.94841,             0.93481,             0.97541,              0.4765,            0.038309,            0.040946,           0.0025739,             0.00505,             0.00505,             0.00505
                  17,            0.058396,            0.053429,           0.0068655,             0.79738,             0.93531,             0.90511,             0.41788,             0.03384,            0.037009,           0.0022597,             0.00472,             0.00472,             0.00472
                  18,            0.052165,            0.052564,             0.00614,             0.83205,             0.86984,             0.94182,             0.61096,            0.030232,            0.036326,           0.0024683,             0.00439,             0.00439,             0.00439
                  19,            0.047765,            0.049324,           0.0062513,             0.97609,             0.98739,             0.98735,             0.63689,            0.027591,            0.035282,           0.0020768,             0.00406,             0.00406,             0.00406
                  20,            0.047256,            0.052812,           0.0055043,             0.95793,             0.94828,             0.96842,              0.5879,            0.030956,            0.036811,           0.0019939,             0.00373,             0.00373,             0.00373
                  21,            0.045134,            0.052681,           0.0057333,             0.97557,             0.97565,             0.98514,             0.67833,            0.021887,            0.033817,           0.0020314,              0.0034,              0.0034,              0.0034
                  22,            0.035763,            0.054331,           0.0050465,             0.86523,             0.94462,             0.91409,              0.6156,            0.015738,            0.033538,           0.0020704,             0.00307,             0.00307,             0.00307
                  23,            0.033754,            0.054713,            0.004922,             0.95707,              0.9735,             0.98088,             0.75951,            0.017058,            0.032432,           0.0020027,             0.00274,             0.00274,             0.00274
                  24,            0.032502,            0.048948,           0.0052967,             0.93626,             0.97884,             0.98769,             0.77581,               0.016,            0.032532,           0.0019088,             0.00241,             0.00241,             0.00241
                  25,            0.032569,            0.051557,           0.0049358,             0.98651,             0.97636,             0.99248,             0.79771,             0.01475,            0.031124,           0.0018174,             0.00208,             0.00208,             0.00208
                  26,            0.025712,            0.046384,           0.0042499,             0.97944,              0.9893,             0.99266,             0.81247,            0.012738,            0.030462,           0.0018464,             0.00175,             0.00175,             0.00175
                  27,            0.024988,            0.044642,           0.0047543,             0.98052,              0.9946,              0.9927,             0.82886,            0.012869,            0.029734,           0.0017659,             0.00142,             0.00142,             0.00142
                  28,            0.024447,            0.047331,           0.0044711,             0.98451,             0.99235,             0.99276,             0.83087,            0.011436,            0.029274,           0.0016908,             0.00109,             0.00109,             0.00109
                  29,            0.022705,            0.045778,           0.0037513,             0.98491,             0.99282,             0.99284,             0.83805,            0.010649,            0.028969,           0.0016248,             0.00076,             0.00076,             0.00076
